epoch,ms,label,quality,raw_rms,filt_rms,hum_pct,D_abs,T_abs,A_abs,B_abs,G_abs,D_rel,T_rel,A_rel,B_rel,G_rel,A_B_ratio,T_A_ratio
257,256981,Neutral,good,913.7,2.4,0.0,877.414,3264.120,4708.775,1151.597,493.851,0.0836,0.3110,0.4486,0.1097,0.0471,4.089,0.693
258,257981,Neutral,good,913.7,2.3,0.0,182.318,2201.582,1135.404,2156.534,532.734,0.0294,0.3546,0.1829,0.3473,0.0858,0.526,1.939
259,258981,Neutral,good,913.3,2.4,0.0,3431.546,1552.742,4428.544,4571.375,1555.725,0.2208,0.0999,0.2850,0.2942,0.1001,0.969,0.351
260,259981,Neutral,good,912.0,2.7,0.0,2986.712,4255.743,2737.068,2982.135,1620.269,0.2048,0.2919,0.1877,0.2045,0.1111,0.918,1.555
261,260981,Neutral,good,911.8,3.6,0.0,3420.026,4264.325,6279.945,4475.121,1104.869,0.1750,0.2182,0.3213,0.2290,0.0565,1.403,0.679
262,261981,Neutral,good,911.0,4.3,0.0,16513.395,12678.768,6774.972,5780.454,1171.146,0.3848,0.2954,0.1579,0.1347,0.0273,1.172,1.871
263,262981,Neutral,good,904.4,8.7,0.0,17072.939,5221.003,15886.423,12840.760,757.543,0.3297,0.1008,0.3068,0.2480,0.0146,1.237,0.329
264,263981,Neutral,good,910.6,35.3,0.0,2326033.500,397931.594,93175.117,120974.062,25456.846,0.7849,0.1343,0.0314,0.0408,0.0086,0.770,4.271
265,264981,Neutral,good,844.6,85.6,0.0,2844153.500,3219710.750,1768217.875,1042801.062,122821.219,0.3161,0.3578,0.1965,0.1159,0.0137,1.696,1.821
266,265981,Neutral,good,882.3,38.0,0.0,2989578.000,56102.719,12850.807,6632.526,2987.484,0.9744,0.0183,0.0042,0.0022,0.0010,1.938,4.366
267,266981,Neutral,good,882.3,23.9,0.0,292940.938,134652.062,16555.766,59369.938,4402.620,0.5767,0.2651,0.0326,0.1169,0.0087,0.279,8.133
268,267981,Neutral,good,879.5,13.4,0.0,399049.906,61174.398,8961.735,13075.619,1355.213,0.8251,0.1265,0.0185,0.0270,0.0028,0.685,6.826
269,268981,Neutral,good,891.8,11.7,0.0,102632.992,5719.630,1094.955,6298.647,1604.211,0.8746,0.0487,0.0093,0.0537,0.0137,0.174,5.224
270,269981,Neutral,good,889.8,2.8,0.0,2940.938,4477.440,3824.081,1277.046,456.030,0.2267,0.3451,0.2947,0.0984,0.0351,2.994,1.171
271,270980,Neutral,good,897.0,3.3,0.0,1642.694,7777.296,8833.816,724.418,1897.759,0.0787,0.3725,0.4232,0.0347,0.0909,12.194,0.880
272,271980,Neutral,good,901.3,3.5,0.0,1597.990,4663.099,6399.819,5131.641,433.422,0.0877,0.2558,0.3511,0.2816,0.0238,1.247,0.729
273,272980,Neutral,good,909.9,3.6,0.0,7342.249,3900.385,1890.718,4672.569,474.301,0.4016,0.2134,0.1034,0.2556,0.0259,0.405,2.063
274,273980,Neutral,good,912.9,3.1,0.0,3349.044,2207.659,4369.984,2192.642,888.042,0.2575,0.1697,0.3360,0.1686,0.0683,1.993,0.505
275,274980,Neutral,good,917.0,3.1,0.0,4071.057,2509.756,4133.166,8540.806,1001.515,0.2010,0.1239,0.2040,0.4216,0.0494,0.484,0.607
276,275980,Neutral,good,918.9,3.6,0.0,15769.396,1122.019,2132.522,1535.370,295.061,0.7562,0.0538,0.1023,0.0736,0.0141,1.389,0.526
277,276980,Neutral,good,917.2,5.2,0.0,32662.867,7914.687,4030.080,2069.979,1117.160,0.6834,0.1656,0.0843,0.0433,0.0234,1.947,1.964
278,277980,Neutral,good,916.9,4.0,0.0,6735.506,6898.639,13942.889,8145.024,371.388,0.1866,0.1911,0.3863,0.2257,0.0103,1.712,0.495
279,278980,Neutral,good,917.0,3.2,0.0,2463.556,2541.325,1596.837,3057.140,2273.697,0.2065,0.2130,0.1338,0.2562,0.1905,0.522,1.591
